live_url,live_path,demo_path,section,slug,title,in_sitemap,in_scrape,action,note
https://zorgtech.com/catalog/product/apriori-19-keyboard/,/catalog/product/apriori-19-keyboard/,/catalog/product/apriori-19-keyboard,product,apriori-19-keyboard,Apriori 19 Keyboard,yes,yes,keep,"Путь совпадает с живым Bitrix (демо подтянуто). На Bitrix оставить как есть, meta в HTML сервера"
https://zorgtech.com/catalog/product/apriori-19-print-a4/,/catalog/product/apriori-19-print-a4/,/catalog/product/apriori-19-print-a4,product,apriori-19-print-a4,Apriori 19 Print A4,yes,yes,keep,"Путь совпадает с живым Bitrix (демо подтянуто). На Bitrix оставить как есть, meta в HTML сервера"
https://zorgtech.com/catalog/product/apriori-19-print/,/catalog/product/apriori-19-print/,/catalog/product/apriori-19-print,product,apriori-19-print,Apriori 19 Print-Scan,yes,yes,keep,"Путь совпадает с живым Bitrix (демо подтянуто). На Bitrix оставить как есть, meta в HTML сервера"
https://zorgtech.com/catalog/product/apriori-22-key/,/catalog/product/apriori-22-key/,/catalog/product/apriori-22-key,product,apriori-22-key,Apriori 22 Key,yes,yes,keep,"Путь совпадает с живым Bitrix (демо подтянуто). На Bitrix оставить как есть, meta в HTML сервера"
https://zorgtech.com/catalog/product/apriori-22/,/catalog/product/apriori-22/,/catalog/product/apriori-22,product,apriori-22,Apriori 22,yes,yes,keep,"Путь совпадает с живым Bitrix (демо подтянуто). На Bitrix оставить как есть, meta в HTML сервера"
https://zorgtech.com/catalog/product/apriori/,/catalog/product/apriori/,/catalog/product/apriori,product,apriori,Apriori 19,yes,yes,keep,"Путь совпадает с живым Bitrix (демо подтянуто). На Bitrix оставить как есть, meta в HTML сервера"
https://zorgtech.com/catalog/product/diamant-22-f/,/catalog/product/diamant-22-f/,/catalog/product/diamant-22-f,product,diamant-22-f,Diamant 22 F,yes,yes,keep,"Путь совпадает с живым Bitrix (демо подтянуто). На Bitrix оставить как есть, meta в HTML сервера"
https://zorgtech.com/catalog/product/diamant-32-f-general/,/catalog/product/diamant-32-f-general/,/catalog/product/diamant-32-f-general,product,diamant-32-f-general,Diamant 32 F General,yes,yes,keep,"Путь совпадает с живым Bitrix (демо подтянуто). На Bitrix оставить как есть, meta в HTML сервера"
https://zorgtech.com/catalog/product/diamant-32-f-key/,/catalog/product/diamant-32-f-key/,/catalog/product/diamant-32-f-key,product,diamant-32-f-key,Diamant 32 F Key,yes,yes,keep,"Путь совпадает с живым Bitrix (демо подтянуто). На Bitrix оставить как есть, meta в HTML сервера"
https://zorgtech.com/catalog/product/diamant-32-f-print/,/catalog/product/diamant-32-f-print/,/catalog/product/diamant-32-f-print,product,diamant-32-f-print,Diamant 32 F Print,yes,yes,keep,"Путь совпадает с живым Bitrix (демо подтянуто). На Bitrix оставить как есть, meta в HTML сервера"
